skyblue_143,2017-09-11 3:53,0,0,skyblue: #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906968844325056513,https://twitter.com/skyblue_143/status/906968844325056513
spinsterAtashi,2017-09-11 3:52,11,1,#PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906968608554844160,https://twitter.com/spinsterAtashi/status/906968608554844160
BaloiNews,2017-09-11 3:47,0,0,60to100 ISIS katao ang kalaban against a thousands of country's defender. Kailan kaya matatapos ang upakan? Tigang na ang mga bakwit #Marawi,,,#Marawi,906967280000667648,https://twitter.com/BaloiNews/status/906967280000667648
Marawi_44,2017-09-11 3:32,0,0,لا إله إلا أنت سبحانك إني كنت من الظالمين http:// du3a.org /,,,,906963730990280704,https://twitter.com/Marawi_44/status/906963730990280704
trendinaliaPI,2017-09-11 3:10,0,0,➎ the boy ➏ Marawi ➐ Lotto Result September 9 2017 ➑ Inferno ➒ Grandparents Day 2017 ➓ Pvl Live Stream 2017/9/11 03:10 +08,,,,906957985640878080,https://twitter.com/trendinaliaPI/status/906957985640878080
hirelmae,2017-09-11 3:06,0,0,More sad news from US' hurricanes Harvey&Irma &Mexico's quake &still war in Marawi Lord be with us We are sorry for being bad @LovLikeJesus,,@LovLikeJesus,,906957039921856512,https://twitter.com/hirelmae/status/906957039921856512
need_justice9,2017-09-11 2:46,0,0,Philippines President Calls On Separatists,,,,,
PunzalSharen,2017-09-11 2:42,0,1,Tangina ang sama ng ugali ng ibang nakikisama lang nmn sa pagtago sa marawi . Selfish nyo tangina,,,,906951152666779648,https://twitter.com/PunzalSharen/status/906951152666779648
Pinkfrappe12,2017-09-11 2:35,0,0,Malawak pala eh bakit yung sa Marawi di nila nasugpo agad?,,,,906949305163845632,https://twitter.com/Pinkfrappe12/status/906949305163845632
disasters_ph,2017-09-11 2:35,0,0,USAID allots $15 M for Marawi rehabilitation - Manila Bulletin http:// bit.ly/2fcH53z,,,,906949187807404034,https://twitter.com/disasters_ph/status/906949187807404034
MhixzJha,2017-09-11 2:31,0,0,Tulo luha ko dito sa MMK Episode na to. Saludo ako sayo Kuya Loloy Dando. Sana talaga bumalik na ang dating kapayapaan sa Marawi,,,,906948171573723137,https://twitter.com/MhixzJha/status/906948171573723137
kanlunganuk,2017-09-11 2:25,0,0,Film Fundraiser for Marawi Victims http:// fb.me/PKc7S0SC,,,,906946631823638528,https://twitter.com/kanlunganuk/status/906946631823638528
migranteeurope,2017-09-11 2:25,0,0,Film Fundraiser for Marawi Victims http:// fb.me/MGo8HtMd,,,,9.06947E+17,https://twitter.com/migranteeurope/status/906946625087488000
fdwa_uk,2017-09-11 2:24,0,0,Film Fundraiser for Marawi Victims http:// fb.me/7WNHavmzJ,,,,906946615721598976,https://twitter.com/fdwa_uk/status/906946615721598976
migrante_intl,2017-09-11 2:24,0,0,Film Fundraiser for Marawi Victims http:// fb.me/16WunP82m,,,,906946596213989376,https://twitter.com/migrante_intl/status/906946596213989376
CHRPUK,2017-09-11 2:24,1,1,Film Fundraiser for Marawi Victims http:// fb.me/2aP5VJ0nA,,,,906946590769692672,https://twitter.com/CHRPUK/status/906946590769692672
Marawi_44,2017-09-11 2:24,0,0,اللهم ارحمنا فإنك بنا راحم ولا تعذبنا فأنت علينا قادر http:// du3a.org /,,,,906946437635825664,https://twitter.com/Marawi_44/status/906946437635825664
GeneralStrikeUS,2017-09-11 2:22,0,0,Underground Newz Inc. IS BACK!!: Christians Are Given Hijabs by Muslims in Marawi t... http:// undergroundnewzinc.blogspot.com/2017/06/christ ians-are-given-hijabs-by-muslims.html?spref=tw …,,,,906946056599908353,https://twitter.com/GeneralStrikeUS/status/906946056599908353
Marawi_01,2017-09-11 1:57,0,0,I'm glad i did,,,,906939746978496513,https://twitter.com/Marawi_01/status/906939746978496513
disasters_ph,2017-09-11 1:49,0,0,NCRPO turns over relief assistance to Marawi IDPs - Philippine Information Agency http:// bit.ly/2gU65Ab,,,,906937711088553985,https://twitter.com/disasters_ph/status/906937711088553985
manilainformer,2017-09-11 1:42,0,0,Rody ready to extend Marawi operations to save hostages https:// manilainformer.com/241188/rody-re ady-to-extend-marawi-operations-to-save-hostages/ … pic.twitter.com/LCUEu11On0,,,,906935946217586689,https://twitter.com/manilainformer/status/906935946217586689
