PHLNewsOnline,2017-07-08 20:27,2,2,"[GMA News] ARMM official: Don't blame Maranaos for Marawi conflict, we're victims here",,,,883663877535408128,https://twitter.com/PHLNewsOnline/status/883663877535408128,en
ayahhhh05,2017-07-08 20:25,0,3,When in marawi D,,,#,883663360641728512,https://twitter.com/ayahhhh05/status/883663360641728512,en
chucktorres,2017-07-08 20:25,0,0,FEED Philippines is now cooking daily for the evacuees displaced from Marawi City. iAmBecauseWeAre...,,,#,883663336235290624,https://twitter.com/chucktorres/status/883663336235290624,en
NUM3RO1UNO,2017-07-08 20:17,0,0,Marawi airstrikes target high-rise snipers&nbsp;&mdash;military spokesperson via gmanews,,@,,883661231092940800,https://twitter.com/NUM3RO1UNO/status/883661231092940800,en
deanjorgebocobo,2017-07-08 20:14,1,1,Situation in Marawi is STILL critical. Collateral damage figures may be mounting from bombing. Du30 may kill more civilians than ISIS.,,,,883660601762893825,https://twitter.com/deanjorgebocobo/status/883660601762893825,en
nerowattz,2017-07-08 20:13,0,0,India offers help in rehabilitation of war-torn Marawi 8,,,,883660422284550144,https://twitter.com/nerowattz/status/883660422284550144,en
landulayan,2017-07-08 20:12,0,0,BILIBID INMATES SEND RELIEF ASSISTANCE TO THE AFFECTED RESIDENTS IN MARAWI CITY: via YouTube,,@,,883660086576635905,https://twitter.com/landulayan/status/883660086576635905,en
hannah_kharylle,2017-07-08 20:10,0,1,maybe you like to go in marawi lol,,,,883659547046330368,https://twitter.com/hannah_kharylle/status/883659547046330368,en
roshiroxy,2017-07-08 20:10,0,0,With the team who's willing to help our brothers and sisters in Marawi. IVolunteer LiveToInspire EnjoyYourJourney,,,# # # #,883659433305292800,https://twitter.com/roshiroxy/status/883659433305292800,en
acpadilla82,2017-07-08 20:09,0,0,Rody tries to enter Marawi. PhilippineStarphilippinestar July 08…,,,,883659211959390209,https://twitter.com/acpadilla82/status/883659211959390209,en
