username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
marawi_93;2017-09-29 15:51;4;3;""إنِّ اللَّهَ وَملَائِكتهُ يُصلُّونَ عَلَى النَّبي يَا أَيُّها الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلمُوا تَسْليماً"";;;;"913672544401657857";https://twitter.com/marawi_93/status/913672544401657857
dzbb;2017-09-29 15:46;0;0;"Bilang ng mga nasawing miyembro ng Maute group sa Marawi City, dumarami pa, ayon sa militar. | via @Benjielite";;@Benjielite;;"913671334219063296";https://twitter.com/dzbb/status/913671334219063296
Rana_rana44;2017-09-29 15:46;2;2;"الله يرحمه ويغغر له";;;;"913671237406208000";https://twitter.com/Rana_rana44/status/913671237406208000
dzIQ990;2017-09-29 15:38;3;2;"Giyera sa Marawi matatapos na bukas ayon kay Pangulong Duterte - DZIQ Radyo Inquirer 990AM https:// shar.es/1VZVZS | @chonayu1";;@chonayu1;;"913669373532893185";https://twitter.com/dzIQ990/status/913669373532893185
hersheysgram01;2017-09-29 15:38;0;4;"Taysa nganong dri mi sa bukid sa iligan niagi? Ano na? Punta tayo marawi ?";;;;"913669327294939136";https://twitter.com/hersheysgram01/status/913669327294939136
maxangelo987;2017-09-29 15:37;0;0;"http:// bit.ly/2fktrLl AFP WestMinCom Chief LtGen. Carlito Galvez on war in Marawi : "10 to 15 days talagang tapos na ito" | jun_veneracio…";;;;"913669101620482048";https://twitter.com/maxangelo987/status/913669101620482048
dzbb;2017-09-29 15:37;1;2;"Pang. Duterte, kumpiyansang mapapalaya mula sa kamay ng Maute group ang Marawi City, ngayong weekend. #SuperBalitaSaHapon";;;#SuperBalitaSaHapon;"913668998897659904";https://twitter.com/dzbb/status/913668998897659904
spinsterAtashi;2017-09-29 15:32;24;0;"#StarMagicBallFanFave Edward Barber si Suna ay Linen at nasa marawi ... love u Edward!";;;#StarMagicBallFanFave;"913667752325533696";https://twitter.com/spinsterAtashi/status/913667752325533696
ahmetisitez;2017-09-29 15:26;0;0;"Morolu Müslümanların, kamplardaki zorlu hayat mücadelesi | VİDEOFilipinler'in Marawi kentindeki çatışmalar nedeniy… http:// ift.tt/2yxA30z";;;;"913666207752089600";https://twitter.com/ahmetisitez/status/913666207752089600
jayedinexoxo;2017-09-29 15:24;0;0;"BAKIIIIIIITTTT PAANOOOOOOO. Sila na ba isasabak sa mga nasa Marawi ? Juskoooo";;;;"913665745036369922";https://twitter.com/jayedinexoxo/status/913665745036369922
