reinhardX,5/28/2017 23:06,0,-1,Probleme auf : Einwohner v. flüchten vor Terroristen. Österreich: Kinder fliehen Spielplatz vor Wildschwein,,,#Philippinen #marawi #Islam,8.69E+17,https://twitter.com/reinhardX/status/868845905151184896,de
kei_tsukki11,5/28/2017 23:05,0,-1,Rt: PBBYasNerOFC Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/kei_tsukki11/status/868845775727493120,fil
xopasid,5/28/2017 23:05,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// Cd,,,,8.69E+17,https://twitter.com/xopasid/status/868845724254978048,id
keponewsdotcom,5/28/2017 23:05,0,-1,ISIS Mengamuk,,,,,,ms
Tinaliker2,5/28/2017 23:05,0,-1,RT biblewords3: PBBYasNerOFC Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/Tinaliker2/status/868845686288199680,fil
awesomeQBt,5/28/2017 23:05,0,-1,Sebelas WNI Terjebak di Marawi,,,,,,id
Tinaliker2,5/28/2017 23:05,0,-1,PBBYasNerOFC Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/Tinaliker2/status/868845677912088576,fil
PriaMars,5/28/2017 23:05,0,-1,Detik: Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// D,,,#NewsToday #DKK,8.69E+17,https://twitter.com/PriaMars/status/868845669636743169,id
Delidolfina,5/28/2017 23:05,0,-1,Detik: Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi : Menko Polhukam mendukung upaya… http:// 1 1,"(['Heaven on Earth'], Location((37.0259283, -107.877303, 0.0)))",,#NewsToday,8.69E+17,https://twitter.com/Delidolfina/status/868845655254482944,id
KartuKreditLia,5/28/2017 23:05,0,-1,https:// Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http://,"(['Nasional'], Location((-7.4247151, 109.2434902, 0.0)))",,#kartukreditbni,8.69E+17,https://twitter.com/KartuKreditLia/status/868845645188050944,id
sandyseptian1,5/28/2017 23:05,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// c,"(['Tanjungsari'], Location((-8.09522175, 110.590358679, 0.0)))",,,8.69E+17,https://twitter.com/sandyseptian1/status/868845633192337408,id
official_josua,5/28/2017 23:05,0,-1,Josua Manurung- Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http://,"(['P.siantar'], Location((-1.7592285, 136.1606107, 0.0)))",,#josuamanurung,8.69E+17,https://twitter.com/official_josua/status/868845627794378758,id
Finsa07,5/28/2017 23:05,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// 0,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,8.69E+17,https://twitter.com/Finsa07/status/868845616012472320,id
TannersHeroine,5/28/2017 23:05,1,-1,Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/TannersHeroine/status/868845610664841216,fil
ikhwan2a,5/28/2017 23:05,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// D,"(['JEPARA'], Location((-6.5906502, 110.6673202, 0.0)))",,,8.69E+17,https://twitter.com/ikhwan2a/status/868845606910869504,id
ViralPostz,5/28/2017 23:03,0,-1,Apple iPhone 7s Coming Soon . iphone-7s-coming-soon.html … ભાજપ_બુથ_વિસ્તારક_મહાયજ્ઞ,,,#INDvNZ # #MonacoGP #PrayForMarawi #GGVBFFs #Ramadan #Egypt,8.69E+17,https://twitter.com/ViralPostz/status/868845287397367808,gu
brianasabangan,5/28/2017 23:03,1,-1,nafeel ko yung nangyari sa marawi .. nabaril ng sobra yung puso ko,"(['beacon hills'], Location((30.3824619, -81.5073118, 0.0)))",,,8.69E+17,https://twitter.com/brianasabangan/status/868845152747405315,fil
xitat_07,5/28/2017 23:02,0,-1,MARAWI,,,,,,fil
mustseencapss,5/28/2017 23:02,0,-1,Like srsly ga. I had it all planned. Makisabay unta ko sa akong friend na taga Marawi then head straight to Iligan kaso naextend ang class,,,,8.69E+17,https://twitter.com/mustseencapss/status/868844980508401666,fil
HUWATTPAD,5/28/2017 23:02,0,-1,Taga marawi ka?! Hahaha bombahin ka sana diyan! Hahaha -kang,,,,8.69E+17,https://twitter.com/HUWATTPAD/status/868844948698746880,fil
GlobyCarl,5/28/2017 23:02,0,-1,Utok friend wla ka nakatabang sa marawi,"(['\xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xad General Santos City'], Location((6.1265778, 125.1985022, 0.0)))",,,8.69E+17,https://twitter.com/GlobyCarl/status/868844910404714496,ceb
maetigueloo,5/28/2017 23:02,0,-1,Sinuportahan ko ang pag deklara ni PRDD ng ML kasi naniniwala ako yon pinaka mabisa para sa problema sa Marawi . Pero bes,,,,,,fil
DineroYEmpresas,5/28/2017 23:01,0,-1,Philippinen: Zahlreiche Tote im Kampf um die Großstadt Marawi http:// c,"(['Madrid', ' Comunidad de Madrid'], Location((40.4167047, -3.7035825, 0.0)))",,,8.69E+17,https://twitter.com/DineroYEmpresas/status/868844565851144192,de
WikipediaLegal,5/28/2017 23:00,0,-1,Philippinen: Zahlreiche Tote im Kampf um die Großstadt Marawi http:// 8,,,,8.69E+17,https://twitter.com/WikipediaLegal/status/868844543734624256,de
vuozmi,5/28/2017 23:00,0,-1,detikcom: Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// 8,,,,8.69E+17,https://twitter.com/vuozmi/status/868844500218720256,id
RaiNews,5/28/2017 23:00,26,-1,Esercito delle bombarda . Timore avanzata degli islamisti. 2mila persone in trappola. Le foto → http://,"(['Italy', ' Europe'], Location((42.6384261, 12.674297, 0.0)))",,#Filippine #Marawi,8.69E+17,https://twitter.com/RaiNews/status/868844445613125632,it
sanchezferds,5/28/2017 23:00,0,-1,nagdedeclare. Kung titingnan pa nga,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
jaizamc,5/28/2017 23:00,0,-1,ang uban mamakwit na and all. kami tawon na duol ras marawi ga everwing ra. anuna,,@thomas @mildred,,8.69E+17,https://twitter.com/jaizamc/status/868844385089101824,fil
kalyepinoy,5/28/2017 23:00,0,-1,Please Ang mga duwag na Maute Group nag silikas na sa Marawi ? Nakunan ang video at ina upload sa... http://,,,#SHARE,8.69E+17,https://twitter.com/kalyepinoy/status/868844320991973378,fil
soraidah,5/28/2017 23:00,0,-1,Basahin kung paano nakapasok ang Maute Group sa Marawi at paano ito nabuo http://,,,,8.69E+17,https://twitter.com/soraidah/status/868844310438961152,fil
pm_magazin,5/28/2017 23:00,0,-1,Zahlreiche Tote im Kampf um die Großstadt Marawi http:// lreiche-tote-im-kampf-um-die-grossstadt-marawi/ …,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/pm_magazin/status/868844310267138048,de
elpaiscr,5/28/2017 22:59,0,-1,Militares filipinos anuncian la muerte de más de 60 terroristas en Marawi http://,"(['Costa Rica'], Location((10.2735633, -84.0739102, 0.0)))",,,8.69E+17,https://twitter.com/elpaiscr/status/868844056951914497,es
pebawards,5/28/2017 22:57,0,-1,Makakatanggap po ng financial assistance ang mga pamilya ng OFW na apektado ng kaguluhan sa Marawi City ayon sa... http://,"(['Global'], Location((43.7283874, -79.3491487932, 0.0)))",,,8.69E+17,https://twitter.com/pebawards/status/868843569045315585,fil
kenjisolis,5/28/2017 22:57,0,-1,Makakatanggap po ng financial assistance ang mga pamilya ng OFW na apektado ng kaguluhan sa Marawi City ayon sa... http:// u,"(['Saudi Arabia'], Location((17.7269134, 42.2363448, 0.0)))",,,8.69E+17,https://twitter.com/kenjisolis/status/868843563303354368,fil
Webcentrale,5/28/2017 22:56,0,-1,Philippinen: Zahlreiche Tote im Kampf um die Großstadt Marawi http:// D,,,,8.69E+17,https://twitter.com/Webcentrale/status/868843355127468033,de
arthur_prevot,5/28/2017 22:55,1,-1,6e jour de combats à . L'armée philippine aurait éliminé + de 60 djihadistes. Nombreuses pertes civiles.,"(['Paris - Singapore - Madrid'], Location((1.303821, 103.8333101, 0.0)))",,#Marawi,8.69E+17,https://twitter.com/arthur_prevot/status/868843268880179200,fr
act_feed_1,5/28/2017 22:55,0,-1,El ército confirma al menos 19 civiles muertos a manos de los islamistas en el asedio a https:// u,,,#Ej #filipino #Marawi,8.69E+17,https://twitter.com/act_feed_1/status/868843265499516928,es
tanoyuka_lover,5/28/2017 22:55,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// 9,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,8.69E+17,https://twitter.com/tanoyuka_lover/status/868843075518382080,id
OrangUpdate,5/28/2017 22:54,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// 89,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,8.69E+17,https://twitter.com/OrangUpdate/status/868842952340062208,id
brattlynne,5/28/2017 22:54,0,-1,From Bp. Edwin de la Pena,"(['Laguna'], Location((14.1696476, 121.3336526, 0.0)))",,,,,ca
jovelyn_n,5/28/2017 22:53,0,-1,8 bangkay na may karatulang 'traydor',,,,,,fil
jovelyn_n,5/28/2017 22:53,0,-1,Bangkay ng mga babae,,,,,,fil
itsmekwinii,5/28/2017 22:52,0,-1,Kalooy sa mga sundalo oy,"(['Iligan City', ' Northern Mindanao'], Location((8.17846435, 124.470789035, 0.0)))",,,,,ceb
jitunews,5/28/2017 22:51,0,-1,. jitunews.com - Usai Insiden Marawi,"(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,,,id
Jurnal_Sulawesi,5/28/2017 22:51,0,-1,10 WNI Terjebak Konflik di Kota Marawi Minta… http:// 0 Marawi,"(['Palu'], Location((-0.8296325, 119.8979865, 0.0)))",,#HEADLINE #INTERNASIONAL #_Filipina #_ISIS #_Konflik_,8.69E+17,https://twitter.com/Jurnal_Sulawesi/status/868842076712062976,ar
Ruffirrific,5/28/2017 22:50,0,-1,Ang init-init dito SA Iligan City,"(['Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,,,fil
klinik_fortuna,5/28/2017 22:50,0,-1,klik http:// Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi,"(['bandung'], Location((-6.9344694, 107.6049539, 0.0)))",,,8.69E+17,https://twitter.com/klinik_fortuna/status/868841817021837312,id
dwi__nardi,5/28/2017 22:50,0,-1,Mudahan diberi kemudahan para Ahbab di Marawi (with ferry),"(['South Kalimantan'], Location((-2.9434835, 115.3756508, 0.0)))",,,8.69E+17,https://twitter.com/dwi__nardi/status/868841806124826624,ms
AbuDesya,5/28/2017 22:50,0,-1,Jangan2 malah ISIS Indonesia pada berangkat ke marawi bela.Islam bela agama.?lagi cari angka bagus : 606 atau 7717.,"(['Kota Surakarta'], Location((-6.4378159, 105.8822484, 0.0)))",,,8.69E+17,https://twitter.com/AbuDesya/status/868841795118972929,id
kristinaindah_,5/28/2017 22:49,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// 8,"(['Jawa Tengah', ' Indonesia'], Location((-7.3032412, 110.0044145, 0.0)))",,,8.69E+17,https://twitter.com/kristinaindah_/status/868841576809861120,id
Jurnal_Sulawesi,5/28/2017 22:48,0,-1,10 WNI Terjebak Konflik di Kota Marawi Minta Dipulangkan . k-konflik-di-kota-marawi-minta-dipulangkan/ …,"(['Palu'], Location((-0.8296325, 119.8979865, 0.0)))",,,8.69E+17,https://twitter.com/Jurnal_Sulawesi/status/868841521625387008,id
superstarnina,5/28/2017 22:48,0,-1,Ung totoo nabawina ba natin ang marawi ? Ligtas na ba sila lahat? Parang nawala na balita dun ah,,,,8.69E+17,https://twitter.com/superstarnina/status/868841488427372545,fil
quinceeeeey,5/28/2017 22:47,0,-1,daw ako tana nakulbaan simo da ya,,,,,,ceb
josepalay,5/28/2017 22:47,0,-1,La guerra d'Estat Islàmic arriba a Filipines: Marawi City (Mindanao). Duterte dóna via lliure als crims de guerra http:// military-hopes-to-defeat-terrorists-in-marawi-city-in-3-days …,,,,8.69E+17,https://twitter.com/josepalay/status/868841236651757569,ca
